feature,importance_mae_increase
curve_p4,3.3649904112611257
llm_duration_seconds,0.004709885852169471
speaker_prob,0.0034321851069375833
llm_interval_label_mean__solution_radical,0.001796328982109389
curve_p0,0.0015835935133117947
duration_sec,0.0015065586606262116
llm_interval_label_mean__trigger_urgency,0.0014801239416533107
llm_interval_label_mean__quick_tip,0.0011461761524955705
llm_abstract_total_count,0.0011043334558052582
author_reply_rate_video,0.0009911401830485407
llm_emotion__emotional_polarity_ratio,0.000956997383544748
llm_expectation_mismatch_points_count,0.0008374702025551647
llm_evidence_analytical_intervals,0.0007614160921699901
llm_emotion__negative_emotion_ratio,0.0006516957046948472
curve_fit_mae,0.0005920315733041193
information_density,0.0005064130222830107
llm_interval_label_mean__trigger_watch_to_end,0.0004640384082351308
motion_speed,0.00043239089915333057
llm_segments_count,0.0003910952275338886
llm_linguistic__subordinate_clause_ratio,0.00036349973269267366
llm_interval_label_mean__why_important,0.00034367463769502393
hook_similarity,0.0003400557111966999
desc_chapter_boundary_dist,0.00031959861025073383
pitch_std,0.00021468939954161215
llm_evidence_water_ratio_mean,0.00020581487775069482
sharpness,0.00020230925909251832
hook_has_address,0.00020174901477550597
avg_word_length,0.00016290771685708214
edit_pace,0.0001464680083108997
zcr,0.00013418858594101599
chapter_id,0.0001292754321194541
content_rhythm,0.00012735612321534973
rolloff,0.00011957061566144252
llm_interval_label_mean__solution_simple,0.00011628909472912359
curve_p3,0.00011080373631718506
llm_integration_evidence_count_max,0.00010593024024056301
speech_complexity,9.697262603314272e-05
loudness_variance,8.580362049137591e-05
wps,7.377221639259801e-05
best_curve_type,7.276377662179812e-05
ekman_joy,7.232817092657957e-05
brightness,6.917947196220335e-05
question_density,6.903972562681086e-05
llm_linguistic__foreign_terms_count,4.406793676015042e-05
bumper_score,4.245707697444109e-05
voiced_frac,3.277177464304041e-05
ekman_neutral,2.3661824341066524e-05
syntactic_depth,1.727503911830297e-05
is_question,1.537524434110556e-05
is_outro,1.3785787147095144e-05
cultural_ref_cnt,1.3393616124327915e-05
comment_question_rate_30s,1.2789307646698944e-05
beat_sync_ratio,1.1912430867215088e-05
comment_density_30s,1.1456052068166874e-05
speech_rate_cv,6.705306149434875e-06
has_example,3.3809800334220577e-06
pause_rate,3.2821504187078667e-06
text_prob,1.198545145205306e-06
llm_expectation_alignment_score,3.6950945384954065e-07
ekman_excitement,3.0278372579554497e-07
comment_positive_rate_30s,0.0
comment_reply_depth_30s,-2.731977910267839e-06
ekman_sadness,-5.234822189355744e-06
viewer_address,-7.258626101661984e-06
ekman_intensity,-8.201599121330597e-06
curiosity_gap,-1.0887624408262297e-05
engagement_surprise,-1.7399048254892097e-05
has_person_mention,-2.5974563247229316e-05
is_intro,-3.235946000697728e-05
crutch_cnt,-3.4705561774946624e-05
llm_abstract_intervals_with_feature,-5.6305812925039334e-05
llm_interval_label_mean__solution_fast,-6.627942075917066e-05
radial_ratio,-7.910083229519434e-05
cumulative_info,-9.7920634959614e-05
rms,-9.929480725852831e-05
screencast_prob,-0.00010760341933983379
llm_abstract_intervals_total,-0.00011229688185062277
scene_novelty,-0.00013098512152313427
visual_entropy,-0.00014533618889345234
pitch_mean,-0.0001532091952801314
hook_score,-0.00017629818554561658
llm_interval_label_mean__pain_point,-0.00017688612733420447
llm_emotion__positive_emotion_ratio,-0.0001891095252724758
llm_evidence_authority_intervals,-0.00019387474941456873
llm_evidence_concreteness_density_mean,-0.00019606222020573938
topic_shift,-0.00021823719389798177
lexical_diversity,-0.0002552202432477557
llm_emotion__personal_pronoun_ratio,-0.00028385817021151877
llm_linguistic__rare_word_ratio,-0.0003173708522291226
llm_linguistic__avg_sentence_length,-0.00037840286103948034
avg_comment_length_video,-0.0005027714342175452
complex_words_ratio_video,-0.0006708289923844646
llm_interval_label_mean__problem_consequence,-0.0006846865411649361
curve_p2,-0.001192205573860387
llm_emotion__energy_density,-0.0012247626930985689
llm_interval_label_mean__promise_result,-0.0012362804349903556
radial_med,-0.02160205211576649
flow_mag_med,-0.03162663148181396
ad_segment_length,-0.04543128564412916
curve_p1,-0.11166329147792246
