feature,importance_mae_increase
avg_comment_length_video,0.32867687212752195
flow_mag_med,0.051280752503047346
curve_p4,0.047256915404065104
radial_med,0.04286302812028827
curve_p1,0.03460359982531654
ad_segment_length,0.005311964683407666
llm_interval_label_mean__trigger_urgency,0.004900629528285923
motion_speed,0.0021004893992220275
llm_emotion__negative_emotion_ratio,0.001660290960433149
llm_interval_label_mean__promise_result,0.001485454446020995
llm_evidence_water_ratio_mean,0.0012622505918192435
llm_interval_label_mean__quick_tip,0.001085236048936622
curve_p3,0.0009969642060039992
llm_evidence_analytical_intervals,0.0009035784025813361
best_curve_type,0.0006901844893369239
screencast_prob,0.0006329035995046676
llm_evidence_authority_intervals,0.00038202115804904696
llm_integration_evidence_count_max,0.0003718662576724559
curve_p0,0.0003467257660224969
llm_interval_label_mean__trigger_watch_to_end,0.00029306569115306047
llm_duration_seconds,0.00023567149348006447
llm_interval_label_mean__solution_fast,0.00023347835729599828
wps,0.00021671005601575644
visual_entropy,0.00019842468866215768
cumulative_info,0.00018239540628961493
llm_emotion__energy_density,0.00017805571603328
llm_interval_label_mean__problem_consequence,0.00017266478082274736
llm_linguistic__rare_word_ratio,0.00010932443952486419
voiced_frac,9.220740189341825e-05
rms,6.220474495025978e-05
chapter_id,5.984542393614826e-05
content_rhythm,5.755408762494104e-05
zcr,4.686789937717132e-05
llm_segments_count,3.986925181997947e-05
is_question,3.876009396700889e-05
information_density,3.741298965328118e-05
ekman_joy,3.223733933606828e-05
text_prob,2.6184182750318048e-05
speaker_prob,2.493401958740075e-05
rolloff,2.341443556079052e-05
ekman_neutral,2.3030447882987914e-05
question_density,2.241732657282114e-05
ekman_sadness,3.74041768402833e-06
comment_reply_depth_30s,2.8654293657837115e-06
viewer_address,2.8540985823610754e-06
llm_abstract_intervals_total,2.6942086304160284e-06
ekman_excitement,2.2309054651022584e-06
has_person_mention,2.020656472960051e-06
curiosity_gap,1.1393732772072933e-06
comment_positive_rate_30s,0.0
llm_abstract_total_count,-5.28769916741112e-07
avg_word_length,-1.771379223451201e-06
author_reply_rate_video,-1.8368459766548995e-06
topic_shift,-3.058052690481835e-06
pause_rate,-3.1474399868614e-06
has_example,-4.041312942959507e-06
lexical_diversity,-4.367387726134098e-06
radial_ratio,-4.494544301773355e-06
comment_question_rate_30s,-6.291103047099493e-06
bumper_score,-8.991606556207898e-06
beat_sync_ratio,-1.1313158292836079e-05
comment_density_30s,-1.2602349711343663e-05
is_outro,-1.3489927787565156e-05
crutch_cnt,-1.883931679162269e-05
syntactic_depth,-2.334645085492563e-05
loudness_variance,-3.4469503771579944e-05
edit_pace,-3.456518594961248e-05
speech_rate_cv,-3.5508158968985036e-05
is_intro,-4.324204850784478e-05
hook_similarity,-4.8727406918895135e-05
sharpness,-5.467606849585138e-05
scene_novelty,-6.632915030913011e-05
ekman_intensity,-8.774433198806737e-05
complex_words_ratio_video,-9.95900371278206e-05
llm_expectation_alignment_score,-0.00010055693069214537
llm_linguistic__avg_sentence_length,-0.00010201356591880521
llm_evidence_concreteness_density_mean,-0.00011437796916702325
engagement_surprise,-0.00011758961693253411
llm_emotion__positive_emotion_ratio,-0.00013552247100712123
pitch_mean,-0.00015261810604805248
desc_chapter_boundary_dist,-0.0001881010854987153
brightness,-0.00020914990516255708
llm_abstract_intervals_with_feature,-0.000218864163942456
duration_sec,-0.00023483175649019472
llm_linguistic__subordinate_clause_ratio,-0.00024113293134616262
speech_complexity,-0.00028793032806480784
llm_linguistic__foreign_terms_count,-0.000352261483471968
curve_p2,-0.00042227943344682234
pitch_std,-0.00045152922274501367
hook_score,-0.0005669458471106262
cultural_ref_cnt,-0.0005697080404445387
llm_emotion__personal_pronoun_ratio,-0.0005901689183194966
llm_interval_label_mean__solution_simple,-0.0007862002936125378
llm_emotion__emotional_polarity_ratio,-0.0008146317485119662
llm_expectation_mismatch_points_count,-0.0008435881964038808
curve_fit_mae,-0.0011656632124381616
hook_has_address,-0.0015861498640686496
llm_interval_label_mean__pain_point,-0.0037261169735742783
llm_interval_label_mean__why_important,-0.00448251604640267
llm_interval_label_mean__solution_radical,-0.005859791721052332
