feature,importance_mae_increase
curve_p4,1.7628316256079344
motion_speed,0.004976044708352963
speaker_prob,0.004580697289393735
llm_integration_evidence_count_max,0.0029803235145280382
llm_interval_label_mean__pain_point,0.0025765422153778417
llm_duration_seconds,0.0021032824374659733
curve_p3,0.001896463526357195
llm_interval_label_mean__problem_consequence,0.0016554640464647719
llm_abstract_total_count,0.0013667015352657093
llm_interval_label_mean__solution_fast,0.0013661098165472414
pitch_std,0.0012084816155250404
llm_expectation_mismatch_points_count,0.0011465582517118378
llm_interval_label_mean__solution_simple,0.0007746189734329315
curve_fit_mae,0.0007036844889327654
llm_interval_label_mean__why_important,0.0006762293699154043
curve_p2,0.0005695657761576692
hook_has_address,0.0005677314481324913
sharpness,0.00045659219471083645
radial_ratio,0.0004270641717181907
scene_novelty,0.00042022982052773256
brightness,0.0003990280352799876
llm_interval_label_mean__trigger_watch_to_end,0.00027860257491714907
pitch_mean,0.0002683110756442157
hook_similarity,0.00024227419308668155
visual_entropy,0.00022893911934573907
lexical_diversity,0.00021595089348913632
zcr,0.0002142556823129619
llm_interval_label_mean__trigger_urgency,0.00021248304411081165
desc_chapter_boundary_dist,0.0001970593291934127
best_curve_type,0.00019640466167617868
loudness_variance,0.00016024183518818327
llm_interval_label_mean__solution_radical,0.0001571277580634245
information_density,0.0001071420046354632
llm_evidence_authority_intervals,9.974677963953127e-05
cumulative_info,7.63908864627183e-05
text_prob,7.419271437510606e-05
llm_interval_label_mean__quick_tip,7.065373285364274e-05
edit_pace,6.327865147307914e-05
crutch_cnt,5.793618683706351e-05
ekman_neutral,5.755031069476502e-05
question_density,5.389298542842388e-05
engagement_surprise,3.6869741509330346e-05
llm_abstract_intervals_with_feature,3.569133997771701e-05
has_example,3.266727963691096e-05
llm_emotion__positive_emotion_ratio,2.8585679460254216e-05
viewer_address,2.646493439624938e-05
voiced_frac,2.2847266873071703e-05
speech_complexity,1.9540566422430555e-05
llm_emotion__personal_pronoun_ratio,1.7723234573570796e-05
content_rhythm,1.6002214387948282e-05
comment_density_30s,1.2594795856320692e-05
ekman_sadness,1.1307492900532642e-05
beat_sync_ratio,1.0307865961086312e-05
llm_abstract_intervals_total,8.238738911832874e-06
ekman_excitement,1.3804671787909228e-06
comment_positive_rate_30s,0.0
comment_reply_depth_30s,-1.1091578511942164e-06
is_question,-8.34764033719182e-06
author_reply_rate_video,-8.97461038344242e-06
comment_question_rate_30s,-1.7563974110975284e-05
bumper_score,-2.1884779725311887e-05
has_person_mention,-2.499507992226313e-05
is_intro,-3.060696542137956e-05
curiosity_gap,-4.082859152632068e-05
ekman_joy,-4.415984201007935e-05
llm_expectation_alignment_score,-4.501972261472531e-05
ekman_intensity,-4.5350203813872746e-05
llm_emotion__energy_density,-6.363116475268289e-05
is_outro,-7.083376642214034e-05
rms,-7.385342034638143e-05
complex_words_ratio_video,-7.667982145420638e-05
chapter_id,-9.664529227630207e-05
cultural_ref_cnt,-0.0001022546598221652
rolloff,-0.00011941827956659286
llm_segments_count,-0.00012193245462851128
speech_rate_cv,-0.00013847539920656496
avg_word_length,-0.00016418620698151662
syntactic_depth,-0.00017633091891984995
topic_shift,-0.00020047052465343995
hook_score,-0.00022167923426863467
duration_sec,-0.00023895742082835625
screencast_prob,-0.00034943948877893166
llm_interval_label_mean__promise_result,-0.00043924035805649925
pause_rate,-0.00045054848044697354
llm_linguistic__subordinate_clause_ratio,-0.0004969436343357595
llm_emotion__emotional_polarity_ratio,-0.0005429787210899187
llm_linguistic__rare_word_ratio,-0.0005431209853779725
llm_emotion__negative_emotion_ratio,-0.0005520156507839621
llm_evidence_water_ratio_mean,-0.0006465194248921335
llm_linguistic__avg_sentence_length,-0.0008652413245477201
curve_p0,-0.0012364522852141846
llm_linguistic__foreign_terms_count,-0.00133447237927579
llm_evidence_concreteness_density_mean,-0.001380626439261808
wps,-0.0014151079033073444
llm_evidence_analytical_intervals,-0.0033542847082580116
avg_comment_length_video,-0.014137460689733908
ad_segment_length,-0.03571888385432705
curve_p1,-0.08405136511270743
flow_mag_med,-0.12122686342044216
radial_med,-0.1282668695984904
