feature,importance_mae_increase
curve_p4,3.321746018538773
avg_comment_length_video,0.20219013384072917
flow_mag_med,0.12553154596007587
radial_med,0.10880050470333202
ad_segment_length,0.01524364169281256
llm_interval_label_mean__trigger_urgency,0.006827554923077035
llm_interval_label_mean__quick_tip,0.0050182556555202025
llm_duration_seconds,0.0039212551053982025
curve_p3,0.0038824619633128776
llm_interval_label_mean__pain_point,0.0026372664045570815
llm_interval_label_mean__why_important,0.002353521542185414
llm_emotion__negative_emotion_ratio,0.0021710166049852355
llm_evidence_water_ratio_mean,0.002147740027296526
llm_evidence_analytical_intervals,0.0018345168714860212
llm_interval_label_mean__problem_consequence,0.0017367649393094098
pause_rate,0.0017202673178685994
hook_has_address,0.0016690487121972335
visual_entropy,0.0015538017348462791
llm_abstract_intervals_total,0.0015422298569867838
curve_fit_mae,0.0013682248962171666
llm_segments_count,0.0013582059652481604
llm_abstract_intervals_with_feature,0.0013493201126729322
llm_interval_label_mean__trigger_watch_to_end,0.0012855284284825075
llm_abstract_total_count,0.0012603797534899523
llm_evidence_authority_intervals,0.0010272331363670635
curve_p0,0.0009678292982637041
llm_interval_label_mean__promise_result,0.0007756960273959853
pitch_std,0.0007454293002376507
desc_chapter_boundary_dist,0.0007305296340778256
scene_novelty,0.0006185871539721907
speaker_prob,0.0006037545282833179
best_curve_type,0.0005889798154908495
screencast_prob,0.0004671871071971386
duration_sec,0.00036897942571260484
llm_evidence_concreteness_density_mean,0.000358357445240524
llm_emotion__positive_emotion_ratio,0.00035503815502835323
llm_linguistic__subordinate_clause_ratio,0.0002776337928883284
curve_p2,0.00021884276135016498
llm_linguistic__foreign_terms_count,0.00020103013948080672
speech_rate_cv,0.00018761291755531317
engagement_surprise,0.00014370770344089104
lexical_diversity,0.00012157049902879653
llm_emotion__personal_pronoun_ratio,0.00011884733395047438
cumulative_info,0.00011512296821258872
llm_expectation_mismatch_points_count,9.779725530911776e-05
hook_score,9.600195554071433e-05
question_density,9.09515733376054e-05
is_question,8.874018200029828e-05
speech_complexity,8.291584430134928e-05
has_example,7.284749852291365e-05
syntactic_depth,6.788839207949593e-05
has_person_mention,6.432549001248826e-05
information_density,5.679429560897139e-05
bumper_score,4.670171454238906e-05
crutch_cnt,3.0594690403044446e-05
viewer_address,2.884628749022511e-05
ekman_joy,1.4664552391370952e-05
curiosity_gap,1.1987339937273115e-05
beat_sync_ratio,1.081460379855533e-05
ekman_sadness,5.380863402256371e-06
comment_reply_depth_30s,2.0496129184977008e-06
comment_positive_rate_30s,0.0
complex_words_ratio_video,-4.0224283222774676e-07
ekman_excitement,-6.7241907917292565e-06
comment_question_rate_30s,-8.374393577999703e-06
author_reply_rate_video,-8.66112536002106e-06
content_rhythm,-2.266786279629211e-05
comment_density_30s,-2.3691410279506424e-05
chapter_id,-2.4718105204139345e-05
topic_shift,-2.4879254132414985e-05
llm_emotion__emotional_polarity_ratio,-2.7669774424884015e-05
text_prob,-3.1817470841725516e-05
is_outro,-5.317599860118113e-05
ekman_intensity,-5.999209464017478e-05
brightness,-6.232749511111042e-05
loudness_variance,-6.624322520032422e-05
ekman_neutral,-0.00010017923789599574
rolloff,-0.00012436290778931416
llm_expectation_alignment_score,-0.00013875048546374558
edit_pace,-0.00016865273907029632
radial_ratio,-0.00018356593922064235
rms,-0.00018599544814771699
hook_similarity,-0.0001918660532146769
sharpness,-0.00022142901279191088
is_intro,-0.00024914253663096037
wps,-0.00025277877404879706
llm_linguistic__avg_sentence_length,-0.0002771736371656175
pitch_mean,-0.00029040421589954235
voiced_frac,-0.0003136360999391741
zcr,-0.0003349414359637611
avg_word_length,-0.0003900798633947507
motion_speed,-0.0005916771715638683
llm_interval_label_mean__solution_fast,-0.0006498513048646496
llm_integration_evidence_count_max,-0.0008421699599481988
llm_emotion__energy_density,-0.0009507100574269364
cultural_ref_cnt,-0.001088563207746418
llm_linguistic__rare_word_ratio,-0.0011248018875384957
llm_interval_label_mean__solution_simple,-0.004030331526652849
llm_interval_label_mean__solution_radical,-0.020617051958645643
curve_p1,-0.17677977124456787
